model_name,auroc,accuracy,specificity,sensibility,precision,f1_score
kNN,0.7901277483271052,0.9310344827586207,0.977491961414791,0.5405405405405406,0.7407407407407407,0.625
RF,0.8359259581124533,0.9367816091954023,0.9807073954983923,0.5675675675675675,0.7777777777777778,0.65625
Bagging,0.8015121230555313,0.9281609195402298,0.9710610932475884,0.5675675675675675,0.7,0.626865671641791
BN,0.6725471452159555,0.7126436781609196,0.7234726688102894,0.6216216216216216,0.21100917431192662,0.31506849315068497
J48-DT,0.78739028417485,0.9195402298850575,0.9581993569131833,0.5945945945945946,0.6285714285714286,0.611111111111111
Part,0.738159381246198,0.9252873563218391,0.9935691318327974,0.35135135135135137,0.8666666666666667,0.5000000000000001
MLP,0.8236725471452161,0.9109195402298851,0.9453376205787781,0.6216216216216216,0.575,0.5974025974025973
FURIA,0.7792213435300251,0.9454022988505747,0.9903536977491961,0.5675675675675675,0.875,0.6885245901639344
Ridor,0.738159381246198,0.9252873563218391,0.9935691318327974,0.35135135135135137,0.8666666666666667,0.5000000000000001
LogitBoost,0.6278786825410618,0.8879310344827587,0.9935691318327974,0.0,0.0,
AdaBoost,0.7992526288346224,0.9252873563218391,0.9678456591639871,0.5675675675675675,0.6774193548387096,0.6176470588235294
BLR,0.8078560875988529,0.9367816091954023,0.9839228295819936,0.5405405405405406,0.8,0.6451612903225806
SVM,0.7743981924046232,0.8936781609195402,0.9967845659163987,0.02702702702702703,0.5,0.05128205128205129
MultiBoostAB,0.7964717128704267,0.9166666666666666,0.9967845659163987,0.24324324324324326,0.9,0.3829787234042553
NBN,0.6725471452159555,0.7126436781609196,0.7234726688102894,0.6216216216216216,0.21100917431192662,0.31506849315068497
Stacking,0.8329277830885549,0.9224137931034483,0.9581993569131833,0.6216216216216216,0.6388888888888888,0.6301369863013699
Vote,0.738159381246198,0.9252873563218391,0.9935691318327974,0.35135135135135137,0.8666666666666667,0.5000000000000001
XGBoost,0.8782914747544973,0.9310344827586207,0.9710610932475884,0.5945945945945946,0.7096774193548387,0.6470588235294118
DNNs,0.8236725471452161,0.9109195402298851,0.9453376205787781,0.6216216216216216,0.575,0.5974025974025973
ID3,0.740809941774572,0.9281609195402298,0.9967845659163987,0.35135135135135137,0.9285714285714286,0.5098039215686275
CART,0.78739028417485,0.9195402298850575,0.9581993569131833,0.5945945945945946,0.6285714285714286,0.611111111111111
